7C8058,VH-ZMY,PA34,PIPER PA-34 Seneca,L2P,L
7CC458,23-1510,SIRA,TECNAM P-2002 Sierra,L1P,L
7CF858,A27-031,HAWK,BRITISH AEROSPACE T-45 Goshawk,L1J,M
800358,P116,PC7,PILATUS PC-7 Astra,L1T,L
800758,P122,PC7,PILATUS PC-7 Astra,L1T,L
800B58,VT-IDM,A320,AIRBUS A-320,L2J,M
800D58,VT-IUD,A21N,AIRBUS A-321neo,L2J,M
801458,VT-ISW,A20N,AIRBUS A-320neo,L2J,M
845E58,JA117E,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
845F58,JA11HA,DA42,DIAMOND DA-42 Guardian,L2P,L
846658,JA13FJ,E75L,EMBRAER ERJ-170-200 (long wing),L2J,M
84B758,JA211J,E170,EMBRAER ERJ-170-100,L2J,M
84C258,JA243J,E190,EMBRAER ERJ-190-100,L2J,M
850E58,JA307J,B738,BOEING 737-800,L2J,M
851958,JA339J,B738,BOEING 737-800,L2J,M
861F58,JA6184,KMAX,KAMAN K-Max,H1T,L
880458,HS-ABX,A320,AIRBUS A-320,L2J,M
880858,HS-BBX,A20N,AIRBUS A-320neo,L2J,M
881058,HS-DBX,B738,BOEING 737-800,L2J,M
888158,VN-A653,A21N,AIRBUS A-321neo,L2J,M
895058,V8-RBC,A20N,AIRBUS A-320neo,L2J,M
896458,A6-EUC,A388,AIRBUS A-380-800,L4J,H
896558,A6-ATB,A21N,AIRBUS A-321neo,L2J,M
896C58,2019,A139,AGUSTA AW-139,H2T,L
898058,P2-SIR,K100,DAHER Kodiak 100,L1T,L
899058,B-22823,A20N,AIRBUS A-320neo,L2J,M
8A0458,PK-LOP,B738,BOEING 737-800,L2J,M
8A0858,PK-URT,B505,BELL 505 JetRanger X,H1T,L
A00058,N1DL,SAKO,RANS S-10 Sakota,L1P,L
A00158,N1PS,PA11,PIPER PA-11 Cub Special,L1P,L
A00258,N1ZY,RV4,VANS RV-4,L1P,L
A00458,N10WJ,CH80,ZENAIR CH-801 Stol,L1P,L
A00558,N100GP,BE9L,BEECH 90 King Air,L2T,L
A00658,N100SV,,,,
A00958,N101KM,BE36,BEECH 36 Bonanza,L1P,L
A00A58,N101VT,T6,NORTH AMERICAN T-6 Texan,L1P,L
A00C58,N102CD,SR20,CIRRUS SR-20,L1P,L
A00F58,N1026M,C172,CESSNA 172 Skyhawk,L1P,L
A01058,N103FB,G103,GROB G-103 Twin 3SL,L1P,L
A01758,N105AS,C150,CESSNA 150,L1P,L
A01C58,N106PW,GLID,,L0-,-
A01E58,N1067N,ST75,STEARMAN Kaydet,L1P,L
A02158,N1072E,CH7B,BELLANCA 7 Citabria,L1P,L
A02658,N109CC,PA23,PIPER PA-23,L2P,L
A02B58,N11RG,PTS1,PITTS S-1 Special,L1P,L
A02C58,N110BM,BE9L,BEECH 90 King Air,L2T,L
A02E58,N110XZ,M110,AVIAT Special,L1P,L
A02F58,N11055,CH7A,BELLANCA 7 Champion,L1P,L
A03258,N1110X,DRON,,D0-,-
A03358,N11178,ZZZZ,,-0-,-
A03558,N112TP,P28A,PIPER PA-28-140/150/160/180,L1P,L
A03658,N11220,C310,CESSNA 310,L2P,L
A03958,N113WM,,,,
A03E58,N11466,WACF,WACO F,L1P,L
A04058,N115SB,RV7,VANS RV-7,L1P,L
A04158,N1151Y,C150,CESSNA 150,L1P,L
A04258,N11589,C150,CESSNA 150,L1P,L
A04458,N116V,,,,
